_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,det_centro_izq_1,51.63,14,14,14,14.41,0.03,1.62,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2
300.00,600.00,det_centro_izq_1,111.15,31,31,31,14.71,0.03,3.31,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,2
600.00,900.00,det_centro_izq_1,123.11,36,36,36,14.80,0.02,3.83,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,3
900.00,1200.00,det_centro_izq_1,122.13,33,33,33,14.53,0.10,3.79,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,3
1200.00,1500.00,det_centro_izq_1,113.89,34,33,34,15.09,0.06,3.40,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,3
1500.00,1800.00,det_centro_izq_1,106.07,29,30,30,14.62,0.06,3.29,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,2
1800.00,2100.00,det_centro_izq_1,105.60,31,30,31,14.60,0.09,3.27,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,3
2100.00,2400.00,det_centro_izq_1,89.33,25,26,26,14.46,0.02,2.67,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2
2400.00,2700.00,det_centro_izq_1,117.42,32,32,32,14.26,0.06,3.57,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,2
2700.00,3000.00,det_centro_izq_1,143.23,41,39,41,14.58,0.06,4.49,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,3
3000.00,3300.00,det_centro_izq_1,117.34,32,34,34,14.66,0.05,3.45,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,3
