_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,det_centro_der_1,105.70,26,26,26,13.26,0.09,3.11,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,2
300.00,600.00,det_centro_der_1,228.41,56,55,56,13.29,0.07,6.90,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,3
600.00,900.00,det_centro_der_1,230.02,56,56,57,12.87,0.08,6.95,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,3
900.00,1200.00,det_centro_der_1,244.71,59,60,60,13.01,0.16,7.52,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,3
1200.00,1500.00,det_centro_der_1,212.45,54,52,54,13.19,0.09,6.55,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,3
1500.00,1800.00,det_centro_der_1,263.98,63,64,65,13.09,0.10,8.04,25.92,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,3
1800.00,2100.00,det_centro_der_1,221.77,54,54,55,12.98,0.10,6.72,22.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,3
2100.00,2400.00,det_centro_der_1,228.35,55,55,56,12.91,0.08,6.96,21.47,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,3
2400.00,2700.00,det_centro_der_1,207.70,50,50,51,12.87,0.12,6.36,29.85,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,3
2700.00,3000.00,det_centro_der_1,234.71,58,58,59,12.83,0.07,6.99,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,3
3000.00,3300.00,det_centro_der_1,278.51,68,68,69,12.93,0.08,8.48,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,3
3300.00,3600.00,det_centro_der_1,235.77,56,57,57,12.92,0.10,7.11,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,3
3600.00,3900.00,det_centro_der_1,236.44,58,57,58,13.26,0.06,7.13,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,3
3900.00,4200.00,det_centro_der_1,242.93,60,59,61,13.37,0.08,7.34,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,3
4200.00,4500.00,det_centro_der_1,231.85,57,58,59,12.93,0.08,6.98,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,3
4500.00,4800.00,det_centro_der_1,245.20,59,59,60,12.98,0.11,7.53,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3
4800.00,5100.00,det_centro_der_1,209.00,51,52,52,12.69,0.11,6.33,23.82,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,3
5100.00,5400.00,det_centro_der_1,230.69,55,54,55,12.59,0.08,7.11,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,3
5400.00,5700.00,det_centro_der_1,238.61,57,58,58,12.84,0.13,7.20,25.05,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,3
