_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector entrada,140.18,35,34,35,13.71,0.10,4.39,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,1
300.00,600.00,detector entrada,166.60,40,40,41,13.19,0.09,5.00,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,2
600.00,900.00,detector entrada,163.61,40,41,41,13.48,0.09,4.96,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,1
900.00,1200.00,detector entrada,156.41,40,40,40,14.07,0.10,4.83,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1
1200.00,1500.00,detector entrada,163.44,40,39,40,13.35,0.08,5.07,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1
1500.00,1800.00,detector entrada,166.85,40,40,41,13.23,0.10,5.15,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,2
1800.00,2100.00,detector entrada,162.03,40,40,41,13.58,0.09,4.99,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,1
2100.00,2400.00,detector entrada,165.25,40,40,41,13.36,0.09,4.96,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,1
2400.00,2700.00,detector entrada,166.53,40,40,41,13.22,0.10,5.10,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,2
2700.00,3000.00,detector entrada,162.21,40,40,41,13.52,0.08,4.94,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1
3000.00,3300.00,detector entrada,165.54,40,41,41,13.34,0.09,5.04,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,2
3300.00,3600.00,detector entrada,164.09,40,39,40,13.38,0.09,5.05,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,1
3600.00,3900.00,detector entrada,4.92,1,2,2,12.21,0.06,0.13,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1
