_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector_salida,32.32,8,8,8,13.62,0.11,0.96,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,2
300.00,600.00,detector_salida,50.93,13,13,13,14.04,0.02,1.52,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2
600.00,900.00,detector_salida,65.18,16,16,16,13.50,0.15,1.90,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2
900.00,1200.00,detector_salida,33.01,8,8,8,13.33,0.12,1.01,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,2
1200.00,1500.00,detector_salida,67.92,17,17,17,13.77,0.02,1.98,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2
1500.00,1800.00,detector_salida,44.65,11,11,11,13.55,0.00,1.36,12.90,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2
1800.00,2100.00,detector_salida,67.53,18,17,18,14.18,0.01,2.04,11.33,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,2
2100.00,2400.00,detector_salida,100.95,23,24,24,12.85,0.12,3.04,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,2
2400.00,2700.00,detector_salida,79.14,19,19,19,13.20,0.09,2.36,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,2
2700.00,3000.00,detector_salida,24.60,6,6,6,13.41,0.00,0.74,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1
3000.00,3300.00,detector_salida,25.04,6,6,6,13.18,0.00,0.77,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1
3300.00,3600.00,detector_salida,67.35,16,15,16,12.98,0.07,1.99,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2
3600.00,3900.00,detector_salida,46.65,12,13,13,14.26,0.02,1.33,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2
3900.00,4200.00,detector_salida,61.05,15,15,15,13.51,0.00,1.86,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,2
4200.00,4500.00,detector_salida,56.73,14,14,14,13.57,0.06,1.69,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2
4500.00,4800.00,detector_salida,46.46,11,11,11,13.02,0.17,1.42,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2
4800.00,5100.00,detector_salida,48.58,12,12,12,13.58,0.07,1.45,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2
5100.00,5400.00,detector_salida,55.06,13,13,13,12.99,0.01,1.69,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2
5400.00,5700.00,detector_salida,32.25,9,8,9,13.95,0.00,0.97,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,2
5700.00,6000.00,detector_salida,41.96,10,10,11,13.40,0.16,1.22,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,2
6000.00,6300.00,detector_salida,58.91,14,15,15,13.63,0.05,1.78,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,2
6300.00,6600.00,detector_salida,42.68,11,11,11,14.18,0.00,1.25,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2
6600.00,6900.00,detector_salida,85.97,22,22,22,14.08,0.01,2.55,18.29,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,2
6900.00,7200.00,detector_salida,57.31,14,13,14,13.23,0.06,1.78,20.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2
7200.00,7500.00,detector_salida,24.20,6,7,7,14.12,0.00,0.64,10.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1
7500.00,7800.00,detector_salida,0.00,0,0,0,-1.00,-1.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
7800.00,8100.00,detector_salida,0.00,0,0,0,-1.00,-1.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
8100.00,8175.00,detector_salida,0.00,0,0,0,-1.00,-1.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
