_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector_carr_der_1,5393.44,97,68,97,13.01,1.26,6.08,10.15,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.15,30
300.00,600.00,detector_carr_der_1,7221.95,112,117,141,13.18,0.99,8.11,9.81,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30,29
600.00,900.00,detector_carr_der_1,6898.57,121,123,145,12.93,1.14,7.76,9.14,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.21,28
900.00,1200.00,detector_carr_der_1,6450.11,111,112,133,12.90,1.18,7.24,8.80,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.72,26
1200.00,1500.00,detector_carr_der_1,7071.98,128,126,149,13.05,1.20,7.95,9.47,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.82,29
1500.00,1800.00,detector_carr_der_1,6991.39,102,104,125,13.12,0.81,7.85,9.14,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,28
1800.00,2100.00,detector_carr_der_1,6886.37,122,119,143,12.97,1.04,7.74,9.47,0.00,0.00,0,0.00,0,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,23.19,28
2100.00,2400.00,detector_carr_der_1,6829.74,128,129,152,12.45,1.27,7.67,9.81,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.99,29
2400.00,2700.00,detector_carr_der_1,6913.81,120,124,143,12.82,1.16,7.77,9.47,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.29,28
2700.00,3000.00,detector_carr_der_1,6932.59,121,116,140,12.59,1.30,7.79,9.47,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.34,28
3000.00,3300.00,detector_carr_der_1,7293.96,111,112,135,12.79,1.10,8.20,9.81,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.54,29
3300.00,3600.00,detector_carr_der_1,7191.05,131,129,154,12.80,1.27,8.08,9.47,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.19,28
3600.00,3900.00,detector_carr_der_1,7273.41,126,127,151,13.20,1.24,8.18,9.81,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.47,29
