_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector_carr_izq_1,2504.94,48,41,48,14.48,1.38,2.80,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,16
300.00,600.00,detector_carr_izq_1,3354.16,71,70,78,14.81,0.62,3.76,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.28,16
600.00,900.00,detector_carr_izq_1,3935.51,84,78,92,14.72,0.90,4.41,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,17
900.00,1200.00,detector_carr_izq_1,4222.38,76,77,90,14.84,0.89,4.73,6.74,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.18,20
1200.00,1500.00,detector_carr_izq_1,3469.75,81,84,94,14.90,0.47,3.88,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,17
1500.00,1800.00,detector_carr_izq_1,3720.52,64,59,74,14.77,0.64,4.17,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.49,16
1800.00,2100.00,detector_carr_izq_1,3703.38,73,75,88,14.65,0.63,4.15,5.72,0.01,0.07,1,5.00,4,20.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,12.43,17
2100.00,2400.00,detector_carr_izq_1,4122.28,88,89,101,14.24,0.63,4.62,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.84,17
2400.00,2700.00,detector_carr_izq_1,3878.44,85,80,97,14.63,0.87,4.35,6.06,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,18
2700.00,3000.00,detector_carr_izq_1,4137.21,82,87,99,14.52,0.67,4.63,6.38,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.91,19
3000.00,3300.00,detector_carr_izq_1,3599.03,76,73,88,14.69,0.54,4.03,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.11,17
3300.00,3600.00,detector_carr_izq_1,3735.67,86,90,101,14.52,0.64,4.18,5.71,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.55,17
3600.00,3900.00,detector_carr_izq_1,3514.32,82,80,93,14.51,0.65,3.93,5.86,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.79,18
3900.00,4200.00,detector_carr_izq_1,3496.72,67,68,80,14.66,1.00,3.91,5.46,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.75,17
4200.00,4500.00,detector_carr_izq_1,3760.32,76,78,88,14.56,0.77,4.21,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.64,18
4500.00,4800.00,detector_carr_izq_1,3584.95,78,76,88,14.40,0.54,4.01,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.06,16
4800.00,5100.00,detector_carr_izq_1,3640.80,86,83,98,14.38,0.62,4.08,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,16
5100.00,5400.00,detector_carr_izq_1,4128.23,79,84,94,14.56,0.79,4.62,6.74,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.87,20
5400.00,5700.00,detector_carr_izq_1,3809.34,79,77,89,14.62,1.06,4.26,6.06,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.81,18
5700.00,6000.00,detector_carr_izq_1,3576.72,76,77,88,14.57,0.48,4.00,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.02,17
6000.00,6300.00,detector_carr_izq_1,3479.05,76,72,87,14.72,0.85,3.89,5.39,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,16
6300.00,6600.00,detector_carr_izq_1,3627.29,74,81,89,14.97,0.55,4.06,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.18,17
6600.00,6900.00,detector_carr_izq_1,3448.69,73,67,81,14.94,0.57,3.86,5.58,0.02,0.08,1,5.00,5,25.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,11.55,17
6900.00,7200.00,detector_carr_izq_1,3776.72,80,86,94,14.73,0.81,4.22,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.70,17
7200.00,7500.00,detector_carr_izq_1,3722.14,91,83,99,14.36,0.62,4.17,5.72,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,17
7500.00,7800.00,detector_carr_izq_1,3815.85,69,75,85,14.72,0.77,4.26,6.06,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.83,18
