_begin,_end,_id,_sampledSeconds,_nVehEntered,_nVehLeft,_nVehSeen,_meanSpeed,_meanTimeLoss,_meanOccupancy,_maxOccupancy,_meanMaxJamLengthInVehicles,_meanMaxJamLengthInMeters,_maxJamLengthInVehicles,_maxJamLengthInMeters,_jamLengthInVehiclesSum,_jamLengthInMetersSum,_meanHaltingDuration,_maxHaltingDuration,_haltingDurationSum,_meanIntervalHaltingDuration,_maxIntervalHaltingDuration,_intervalHaltingDurationSum,_startedHalts,_meanVehicleNumber,_maxVehicleNumber
0.00,300.00,detector_carril_der_2,1923.14,80,65,80,13.32,0.62,3.61,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.51,18
300.00,600.00,detector_carril_der_2,4099.71,123,125,138,13.10,0.87,7.70,10.23,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.88,18
600.00,900.00,detector_carril_der_2,4027.39,116,115,129,12.88,0.83,7.57,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.63,17
900.00,1200.00,detector_carril_der_2,4378.08,126,125,140,12.83,1.59,8.23,11.37,0.00,0.00,0,0.00,0,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,14.81,20
1200.00,1500.00,detector_carril_der_2,4007.19,117,118,132,12.78,1.67,7.53,10.23,0.00,0.00,0,0.00,0,0.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,13.56,19
1500.00,1800.00,detector_carril_der_2,4386.23,127,128,141,12.83,1.33,8.25,10.51,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.85,19
1800.00,2100.00,detector_carril_der_2,4134.35,116,115,129,12.94,1.16,7.77,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.99,17
2100.00,2400.00,detector_carril_der_2,4059.47,118,119,132,12.85,1.02,7.62,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.75,18
2400.00,2700.00,detector_carril_der_2,3821.77,114,113,127,12.60,1.26,7.18,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.93,17
2700.00,3000.00,detector_carril_der_2,4278.85,122,122,136,12.70,1.34,8.04,10.80,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.48,19
3000.00,3300.00,detector_carril_der_2,4632.51,126,126,140,12.61,1.30,8.70,11.37,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,20
3300.00,3600.00,detector_carril_der_2,4140.85,122,125,136,12.70,1.11,7.77,10.23,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.03,18
3600.00,3900.00,detector_carril_der_2,3959.63,93,91,104,13.12,0.90,7.46,10.23,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,19
3900.00,4200.00,detector_carril_der_2,3994.88,80,79,93,13.46,0.74,7.52,9.16,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,17
4200.00,4500.00,detector_carril_der_2,3835.06,82,84,96,13.02,0.82,7.21,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.98,17
4500.00,4800.00,detector_carril_der_2,3757.50,77,75,89,13.02,0.87,7.08,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.70,17
4800.00,5100.00,detector_carril_der_2,3800.75,81,84,95,12.84,1.14,7.15,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,17
5100.00,5400.00,detector_carril_der_2,3779.12,89,89,100,12.61,0.84,7.11,10.80,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.79,19
5400.00,5700.00,detector_carril_der_2,3782.41,78,76,89,12.96,1.07,7.12,9.10,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.78,16
5700.00,6000.00,detector_carril_der_2,3871.61,86,85,99,13.00,0.92,7.29,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.09,18
6000.00,6300.00,detector_carril_der_2,3845.66,83,84,97,13.26,0.62,7.24,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.01,17
6300.00,6600.00,detector_carril_der_2,3761.89,76,77,89,13.11,0.97,7.09,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.71,17
6600.00,6900.00,detector_carril_der_2,3712.35,77,77,89,13.46,1.07,6.99,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.57,17
6900.00,7200.00,detector_carril_der_2,3734.72,77,77,89,13.20,0.94,7.03,10.12,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.65,18
7200.00,7500.00,detector_carril_der_2,3937.92,84,82,96,12.83,1.14,7.42,9.66,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.32,18
7500.00,7800.00,detector_carril_der_2,4546.24,92,93,106,12.48,1.32,8.57,10.80,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,19
7800.00,8100.00,detector_carril_der_2,2489.17,47,60,60,12.93,0.99,4.68,10.17,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.43,18
8100.00,8175.00,detector_carril_der_2,0.00,0,0,0,-1.00,-1.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
